,0
MO,0.5228044607846483
MOH,0.7903307564615788
MOS,1.162324770886677
MPC,1.2015487041516257
MPWR,1.7512276730966219
MRK,0.5117585025246296
MS,1.268294342229848
MSCI,1.175779751387228
MSFT,1.2074181477209645
MSI,0.8784648997223843
MTB,1.0659047424233872
MTCH,1.1910172725666905
MTD,1.032410872567768
MU,1.5526365990925481
NDAQ,0.8934379105243889
NDSN,1.0813540245323447
NEE,0.6797363525007836
NEM,0.41039067615879826
NFLX,1.1763843425879947
NI,0.6350564659701987
NKE,1.0243047728996835
NOC,0.5542548541960257
NOW,1.3619116969234666
NRG,0.9622914346783645
NSC,1.0137284448240773
NTAP,1.108947535125574
NUE,1.1665250023821574
NVDA,1.8205372030838929
NVR,0.9914448055564273
NWS,1.0272218106090518
NWSA,1.0261823931708287
O,0.7550434043752227
ODFL,1.0700678545749773
OKE,1.2461751906100162
OMC,0.87092973106968
ON,1.775788222020806
ORCL,0.9678777083145862
ORLY,0.7291112904384942
OXY,1.2447503254756955
PANW,1.0604104735704656
PARA,1.126599040336196
PAYC,1.4539668997263937
PAYX,1.0055367579765793
PCAR,0.8913229194468942
PCG,0.8569744457239427
PEG,0.621868285282016
PEP,0.5925735496315578
PFE,0.5681393619894515
PFG,1.2407876776874067
PG,0.5139921943859899
PGR,0.6279174405803911
PH,1.2794317375438622
PHM,1.1980494588925135
PKG,0.8434436951324584
PLD,0.9863015960948384
PM,0.6111258790747838
PNC,1.1291243880725408
PNW,0.6003807579899629
PODD,1.0041279841159851
POOL,0.9940887139523684
PPG,0.9765014949690901
PPL,0.6686341491758965
PRU,1.269983871887944
PSA,0.6136680318588756
PSX,0.9913445893424695
PTC,1.1076966952792884
PWR,1.1143426426936385
PYPL,1.3351340313545248
QCOM,1.3536642794631781
REG,0.9219270470831624
REGN,0.6925379415783921
RF,1.2851238181759972
RJF,1.1828915543767353
RL,1.1473228572655003
RMD,0.9091897497172212
ROK,1.1472473398518463
ROL,0.6723651046717173
ROP,0.8969594820202517
ROST,1.0479442466904132
RSG,0.6411835504024783
RTX,0.902580805477576
RVTY,0.9325422385340341
SBAC,0.765434914371201
SBUX,0.9959919296468178
SCHW,1.1107901121381234
SHW,0.9172638052384846
SJM,0.3113394177168076
SNA,0.9332772500481057
SO,0.5630149234501897
SPG,1.1541865952031796
SPGI,1.0350596087915336
SRE,0.6911751795073695
STLD,1.2269312459945192
STT,1.2393142003347006
STZ,0.7273808410510898
SWKS,1.470067756404752
SYF,1.402145122738259
SYK,0.9869373696227153
SYY,0.9206372079221448
T,0.5799608170688823
TAP,0.6684915660205445
TDG,1.1765245665592043
TDY,0.9988534401816687
TECH,0.9528230094834014
TER,1.5283144633290928
TFC,1.2243843422513427
TFX,0.9139200326727375
TGT,0.8287234027849237
TJX,0.9241398145848465
TPL,1.0150115804096067
TPR,1.381088280129399
TRMB,1.2668448054436374
TROW,1.2891327144060576
TRV,0.7674651107287572
TSCO,0.8060411249213777
TSLA,1.5963208575739047
TXN,1.1756685057197749
TXT,1.2338666478029827
TYL,0.9378965372197438
UDR,0.8271537907130073
UHS,1.02982996308773
ULTA,1.0552616666113313
UNH,0.7831209179316142
UNP,0.9002086442583951
UPS,0.8454322265105516
USB,1.092868038074445
V,1.0153463308272435
VLO,1.076602375159076
VMC,0.9759789083944194
VRSK,0.8054692366590259
VRSN,0.9458974796402662
VRTX,0.8277792157927126
VTR,0.9806281819760675
VTRS,0.8555556410378364
VZ,0.42132549578402545
WAB,1.0572368730302377
WAT,0.9274714538471119
WBA,0.8055485106709623
WBD,1.0546482339086105
WDAY,1.2258212472572156
WDC,1.4897982658668516
WEC,0.4831114980901317
WELL,0.9051876854174663
WFC,1.1359842616940918
WM,0.5990381153211196
WMB,0.9609041466816738
WMT,0.4844550520337908
WRB,0.774518535070077
WST,0.8665753111517842
WY,1.2171021732678324
WYNN,1.3846484488998858
XEL,0.5287835176855655
XOM,0.802209163134532
XYL,1.064976014682084
YUM,0.753745608044445
ZBH,0.8481054296875052
ZBRA,1.3444048937513347
ZTS,0.9180448355527554
