Date,risk_free_rate
2019-10-18,4.888888888888889e-05
2019-10-21,5.000000000000001e-05
2019-10-22,4.9444444444444446e-05
2019-10-23,4.9166666666666665e-05
2019-10-24,4.9166666666666665e-05
2019-10-25,5.000000000000001e-05
2019-10-28,5.1388888888888896e-05
2019-10-29,5.111111111111111e-05
2019-10-30,4.9444444444444446e-05
2019-10-31,4.694444444444444e-05
2019-11-01,4.805555555555555e-05
2019-11-04,4.972222222222222e-05
2019-11-05,5.166666666666667e-05
2019-11-06,5.0277777777777784e-05
2019-11-07,5.3333333333333326e-05
2019-11-08,5.388888888888889e-05
2019-11-12,5.3333333333333326e-05
2019-11-13,5.2222222222222214e-05
2019-11-14,5.055555555555556e-05
2019-11-15,5.111111111111111e-05
2019-11-18,5.0277777777777784e-05
2019-11-19,4.972222222222222e-05
2019-11-20,4.805555555555555e-05
2019-11-21,4.9166666666666665e-05
2019-11-22,4.9166666666666665e-05
2019-11-25,4.888888888888889e-05
2019-11-26,4.833333333333333e-05
2019-11-27,4.9166666666666665e-05
2019-11-29,4.9444444444444446e-05
2019-12-02,5.0833333333333333e-05
2019-12-03,4.777777777777778e-05
2019-12-04,4.9166666666666665e-05
2019-12-05,5.000000000000001e-05
2019-12-06,5.111111111111111e-05
2019-12-09,5.0833333333333333e-05
2019-12-10,5.1388888888888896e-05
2019-12-11,4.972222222222222e-05
2019-12-12,5.277777777777778e-05
2019-12-13,5.055555555555556e-05
2019-12-16,5.25e-05
2019-12-17,5.25e-05
2019-12-18,5.3333333333333326e-05
2019-12-19,5.3333333333333326e-05
2019-12-20,5.3333333333333326e-05
2019-12-23,5.361111111111111e-05
2019-12-24,5.277777777777778e-05
2019-12-26,5.277777777777778e-05
2019-12-27,5.2222222222222214e-05
2019-12-30,5.277777777777778e-05
2019-12-31,5.3333333333333326e-05
2020-01-02,5.2222222222222214e-05
2020-01-03,5.000000000000001e-05
2020-01-06,5.0277777777777784e-05
2020-01-07,5.0833333333333333e-05
2020-01-08,5.1944444444444446e-05
2020-01-09,5.1388888888888896e-05
2020-01-10,5.0833333333333333e-05
2020-01-13,5.1388888888888896e-05
2020-01-14,5.055555555555556e-05
2020-01-15,4.972222222222222e-05
2020-01-16,5.0277777777777784e-05
2020-01-17,5.111111111111111e-05
2020-01-21,4.9444444444444446e-05
2020-01-22,4.9166666666666665e-05
2020-01-23,4.833333333333333e-05
2020-01-24,4.722222222222223e-05
2020-01-27,4.472222222222222e-05
2020-01-28,4.5833333333333334e-05
2020-01-29,4.4444444444444447e-05
2020-01-30,4.3611111111111116e-05
2020-01-31,4.194444444444445e-05
2020-02-03,4.277777777777778e-05
2020-02-04,4.472222222222222e-05
2020-02-05,4.611111111111111e-05
2020-02-06,4.5833333333333334e-05
2020-02-07,4.416666666666667e-05
2020-02-10,4.3333333333333334e-05
2020-02-11,4.416666666666667e-05
2020-02-12,4.500000000000001e-05
2020-02-13,4.472222222222222e-05
2020-02-14,4.416666666666667e-05
2020-02-18,4.305555555555555e-05
2020-02-19,4.3333333333333334e-05
2020-02-20,4.222222222222222e-05
2020-02-21,4.055555555555555e-05
2020-02-24,3.8333333333333334e-05
2020-02-25,3.694444444444445e-05
2020-02-26,3.694444444444445e-05
2020-02-27,3.6111111111111116e-05
2020-02-28,3.1388888888888885e-05
2020-03-02,3.055555555555556e-05
2020-03-03,2.8333333333333335e-05
2020-03-04,2.8333333333333335e-05
2020-03-05,2.5555555555555554e-05
2020-03-06,2.0555555555555558e-05
2020-03-09,1.5e-05
2020-03-10,2.111111111111111e-05
2020-03-11,2.2777777777777776e-05
2020-03-12,2.4444444444444445e-05
2020-03-13,2.6111111111111107e-05
2020-03-16,2.0277777777777776e-05
2020-03-17,2.8333333333333335e-05
2020-03-18,3.277777777777778e-05
2020-03-19,3.111111111111112e-05
2020-03-20,2.5555555555555554e-05
2020-03-23,2.111111111111111e-05
2020-03-24,2.3333333333333332e-05
2020-03-25,2.4444444444444445e-05
2020-03-26,2.3055555555555554e-05
2020-03-27,1.9999999999999998e-05
2020-03-30,1.9444444444444442e-05
2020-03-31,1.9444444444444442e-05
2020-04-01,1.722222222222222e-05
2020-04-02,1.75e-05
2020-04-03,1.722222222222222e-05
2020-04-06,1.861111111111111e-05
2020-04-07,2.0833333333333333e-05
2020-04-08,2.138888888888889e-05
