,mkt_beta,smb_beta,hml_beta,wml_beta
COTY,1.1578978969453313,0.742754554744873,0.39990950543001885,-0.3458590030868781
CPAY,1.0615876755666365,0.09304676767601844,0.2637103264735071,-0.1366965111527252
CPB,0.39543067765977313,-0.30269399804308117,0.13742306223158274,0.09850517381326696
CPRI,1.299550914361411,0.7203053794996863,0.6063140144344614,-0.39515660118594714
CPRT,0.8694358714734286,0.2721806511005028,-0.1196946707273559,0.03618083428406619
CPT,0.8384771723818141,0.15150880918936832,0.4714966625175993,-0.132538584581748
CRL,0.9365390044382786,0.4789817332496289,-0.19904814768568738,0.07629210943164247
CRM,1.2878356739626362,0.13403210113842595,-0.5624331020392692,0.008190572396097726
CRWD,1.2265535075698035,0.4350061714529482,-1.070619345560197,0.11919777864593782
CSCO,1.0914480573561995,-0.14630580146959707,-0.19770565053866063,-0.12927644187305487
CSGP,0.9700380452707388,0.5052646091514231,-0.28526418206930204,-0.07517117363308605
CSR,0.668199080449317,0.5014914611319244,0.3695416142967874,-0.07876215589052005
CSX,1.0253213942466737,0.034529998952745694,0.387368053246431,-0.03018471679402895
CTAS,1.0147861202151855,-0.05692964656645934,0.08018027809829559,0.0092901410512726
CTRA,0.9579627528221185,0.15250387387391168,0.6427836226378151,0.12393977578439201
CTSH,1.1393399643137743,0.18731616728449768,0.004768731948903794,-0.01282532390141138
CTVA,0.8577109578333578,0.2570302772779728,0.5803831646400082,0.05460440725368444
CVS,0.6945984964106405,-0.13801779462792158,0.32231998365667636,0.014607889905247464
CVX,0.9129174676578603,-0.12135556743926233,0.7205241276525987,0.04385121320402211
CZR,1.8020696408913044,1.0743743894409965,0.32273793207645773,-0.34790807851048333
D,0.5629175271934607,-0.33910397182412993,0.21497538151063506,0.0425142179385763
DAL,1.1645140265100224,0.5324782282928948,0.6616395882056552,-0.2541704685068795
DAY,1.2548322143809714,0.5725478851919104,-0.5560803583310011,-0.28953332455554415
DD,1.0987455250109517,0.09295286286689204,0.5066690173233761,-0.1059823546144443
DDS,1.162651397591625,0.8486262303056544,0.8060293303279189,-0.2744327492767374
DE,1.0060724394501528,0.1413599395309188,0.4835413745985889,0.0024931553979315145
DECK,1.0553922881272877,0.7481650143273816,0.1311578245771926,0.049204759687944785
DGX,0.6404312901953015,0.004464095670506764,0.057355169621108634,0.05679934351514506
DHI,1.22081640165967,0.5208059318349864,0.3147043838981006,-0.057528821294762986
DHR,0.8748344320569854,-0.06303540221662514,-0.18976219015326296,-7.588065506876004e-05
DIS,0.9759073640569081,-0.030570201934658415,0.10798862727930827,-0.20847268588296383
DLR,0.8866232231989519,-0.12197965502915081,-0.06397485179672432,-0.10184279941466742
DLTR,0.7344124945094935,0.09528808150909025,-0.022196393499784167,-0.02027253224471875
DLX,1.062076585655836,0.8870801508483077,0.8549855509614128,-0.16290284637986335
