,mkt_beta,smb_beta,hml_beta,wml_beta
DOV,1.039688323400111,0.13471390193142282,0.4414148386266243,-0.09203959230264638
DPZ,0.575266892591455,0.1987623635143585,-0.273808322567199,0.07360818466947991
DRI,1.0609129519259022,0.29738985674138085,0.44872647369460666,-0.1026477112822574
DTE,0.6479577692695843,-0.20407639960368326,0.4179455295823711,-0.06309477485058726
DUK,0.5450969933950893,-0.36504350036831024,0.27444857783728593,-0.044520470529566494
DVA,0.65753014776607,0.15456244184311252,0.18010644222660144,-0.04474945423960608
DVN,1.387364716716447,0.32126540095606904,1.3462642645079632,-0.19553365269783235
DXCM,0.9403376585681066,0.37083895650013027,-0.67300536055555,0.03611882327694381
EA,0.674407789730163,-0.06124055502194616,-0.23468760102320813,0.1491685907967366
EBAY,0.8293815964149862,0.1076105194002284,-0.1860478625844093,-0.08480153895482313
ECL,0.9680980551435001,-0.23580930027752184,0.08269520252970584,-0.18459227187521726
ED,0.43774960343304875,-0.4019857588738326,0.2157897038435006,-0.04085407117635065
EFX,0.9334042338548997,0.17352391338472958,-0.14904786243386878,-0.13201694074726825
ERIE,0.645571806118963,-0.016351613832121012,0.1177628300273782,0.13169087253500916
EVRG,0.6398402939652613,-0.3286987330114649,0.27781259888287524,-0.0516960993218668
EW,0.9235673283950555,-0.10327776521976242,-0.32744301808823584,-0.09516981148119526
EXC,0.7357706979147413,-0.27657741076279896,0.30135844513165516,-0.035182334065869986
EXPD,0.7705886190719067,-0.01467230974622485,0.05889119692309488,-0.07330138247526703
EXPE,1.177874735937026,0.42110557933883186,0.20267655657938824,-0.30761502600484913
EXR,0.6534004726703488,-0.02502247544992093,-0.006749748606061638,-0.09041529468410851
F,1.1475404899471697,0.37365983301214967,0.5883231645334772,-0.22239526722224745
FANG,1.2192146770729582,0.4018620976717824,1.331831154930295,-0.14243848776007156
FAST,0.9069973017560808,0.02463483098878832,0.09343638671743948,0.0019838840691845626
FCX,1.5426414893285632,0.4394148696281892,0.6866543640110864,-0.09715791262429321
FDS,0.8756252341174883,-0.029708254309979587,-0.009191303945300672,0.03652900871939263
FDX,1.007192165018389,0.18030319947443335,0.23968402797238503,-0.14923786919649906
FE,0.6490386486723374,-0.24234777329036922,0.22214331894223588,0.006773700386549456
FFIV,0.9060447493781995,0.2003840351169856,-0.08909397778986392,-0.10830180214119228
FI,0.9948036839698108,-0.10810170914793901,0.1503222318679341,0.0211283409137874
FICO,1.2333138471933305,0.15526718028368078,-0.2559462825589107,0.10679653848800622
FIS,1.0141839411765987,-0.14181341133208636,0.16655148282467525,-0.08726822343219545
FITB,1.3343963910240804,0.4174748781700476,1.2708866449757494,-0.150428686924706
FMC,0.9868018061941637,0.2897776356408799,0.5169854724673787,-0.004480964415825905
FSLR,0.9605768042273928,0.7400621797964595,-0.12942685693142908,-0.046665256733486836
FTNT,1.1755824529965673,-0.02452814769229811,-0.5797085974669003,0.033426112394060015
FTV,0.9855498758639285,0.12098778090098078,0.2504958738908038,-0.09695210898509037
GD,0.7845916663272408,-0.10290176103657273,0.4769799229409254,0.001941649321865132
GDDY,1.0369814332149727,0.1851444023345803,-0.35085390679305406,0.09998055036619369
GE,1.0952988057381159,0.09513428060811124,0.5634268533058201,-0.14396517824982996
GEN,0.6895241396160506,0.058538171067693025,-0.02056535728335149,0.004209973220488261
GILD,0.5325381029328577,-0.11045797488566705,0.005917665967585004,-0.06822822132973021
GIS,0.33836347687783885,-0.3769256498696174,0.14435964476021376,0.026381182742352745
GL,0.9677412963401434,-0.09485576975511699,0.8016337985871274,-0.029773493570325105
GLW,1.1231622241059698,0.004929348765593856,0.30009633573279604,-0.04407720042770005
GM,1.179708630205743,0.3966929725615548,0.6119958729148816,-0.2008726076009675
GNRC,1.273773307832791,0.8216601868667825,-0.3167172192257746,-0.18200219162069609
GOOG,1.1292933043516349,-0.2743758733649512,-0.4167450159328414,-0.07323134653133256
GPC,0.884263893044029,0.13813479769721002,0.5010771947843475,-0.035963347754641176
GPN,1.2138401704510282,0.06424968260904922,0.21972116751423273,-0.07548560779788215
GS,1.1819362185138567,0.09961308261813254,0.7597047665023842,-0.007393773596970285
GWW,0.9087697233709519,0.0048136884579264225,0.33352443986025543,0.05309819770657759
HAL,1.374597898975808,0.2532613279794391,1.4141085864864662,-0.11052509637727678
HAS,0.8783634837173584,0.15874449659200093,0.13198188424859408,-0.20590783508741595
HBAN,1.160359998742997,0.37031848395700995,1.2284063352050283,-0.1889911675711539
HCA,0.9443301650220235,0.11510270133269862,0.32787395437491745,-0.10567543428711733
HD,0.9465234121598608,0.08791485632599394,0.0407656243525694,0.011671837142536518
HES,1.2289038715672265,-0.005921983632250379,1.1835151804446344,-0.17602079265881193
HIG,0.954949305729607,-4.002187557736875e-05,0.8438546993108977,-0.025611908546995136
HII,0.7682214012996339,0.0855196656721424,0.5252619835622894,0.03673647942607171
HLT,0.9679577838885836,0.23830280402544735,0.23381329535381218,-0.12688943334116362
HOLX,0.7353863279575183,0.03926602640951769,-0.10856214361373767,0.04487017793930748
HON,0.9264287440717827,-0.10355573602072961,0.3861846596658398,-0.08237635456184589
HPE,1.1531942499758931,0.18765954136653368,0.5620676907960288,-0.0334325912424918
HPQ,1.1302928449663314,0.20775675409114197,0.29203236717494313,-0.08787853182033559
HRL,0.3574012220626139,-0.14835746085422827,0.1331671731825328,0.01680105314672616
HSIC,0.7243271544017235,0.0650776146626343,0.3362209725125532,-0.13054125591180107
HST,1.0566304428738678,0.45252244457323787,0.5675543890704464,-0.29911999630938435
HSY,0.5134844867450673,-0.3011805531786872,0.1839236373098232,0.05708473923934991
HUBB,1.0411461946909162,0.17623407193437826,0.42689287901934847,0.0957251989248283
HUM,0.7357517135783641,-0.14015787964543705,0.21044777017935268,0.0857224242988407
HWM,1.293460397451607,0.2910082021278958,0.7822153955155717,-0.061907507419505896
IBM,0.8110009753175267,-0.16945051279573542,0.3714234511120166,-0.025291499148291416
ICE,0.8054291019698373,-0.16113513269148957,0.03484621848300332,0.048404288847580926
IDXX,1.0006968696251417,0.1149063847051824,-0.564389826000482,0.008306522277723306
IEX,0.8533792612580797,0.21607564916676333,0.2597836172192214,-0.01646164487405801
IFF,0.8387078698667264,-0.008225876175734484,0.10848585937181403,-0.18942974411283903
INCY,0.6848613140123047,0.19829779740106868,-0.23616759747801314,0.03688430330863013
INTC,1.275533306538866,-0.032210321700302275,-0.07578324784154836,0.02256186577604283
INTU,1.2916689739352698,-0.16652221968083664,-0.5423164814831156,-0.09049881483367764
IP,0.9276168967994344,0.09875365549223242,0.6101898970520213,-0.17351364325936522
IPG,1.0281403717885302,0.2514470703228615,0.5084400252293806,-0.1983373867591351
IQV,1.0874153377448952,0.19068192381350385,-0.07617371526927007,-0.04694240192928493
IRM,0.8123694642474935,0.10046990367983358,0.19164771348946144,-0.08229646678051106
ISRG,1.1614131578448825,-0.09367451472381244,-0.3714669219584543,-0.002582915146411754
IT,1.0077465791466476,0.12218545587439555,0.05710778397967968,-0.0390075209458472
ITW,0.9277583833689977,-0.025248419348134855,0.36508920674348133,-0.08254058663173355
J,0.9436755331170655,0.11946904748843512,0.36864085794968293,-0.034504066873224506
JBHT,0.8773641269053349,0.22362262977580338,0.26398940778502744,-0.03563203759920553
JBL,1.2505234732557937,0.400385276481816,0.2809543040497887,0.033735767688357524
JKHY,0.6992364827992532,-0.1292440357101653,0.005109039432501787,0.019310920003963627
JNJ,0.5006304181227794,-0.3710981054708143,0.12895449760683622,-0.03430439008209341
JNPR,0.7872550717361944,-0.0659354806264069,0.07063569223940597,-0.06269320678565755
JPM,1.1137297530526116,-0.17154626427325545,0.8605593548211466,-0.08415390897324719
K,0.3258203743262747,-0.33491785414634917,0.20082643587440724,0.018266906016131738
KDP,0.48934985571991074,-0.0489039173899308,0.11395648850894469,0.07622569059145073
KEY,1.4116044040570928,0.5406302160699918,1.4591117920858807,-0.14750520710952572
KHC,0.6235504230843925,-0.3636045535021163,0.3646486680092623,-0.01742828735882141
KIM,0.9504717603462154,0.333703015613383,0.6600040099884674,-0.36012506627032226
KKR,1.380472639067121,0.2288133312745137,0.1389189665580779,-0.05011672614494159
KLAC,1.5425362203489856,0.11323646422723016,-0.33329928098717576,0.18382307380792223
KMB,0.4363953433409045,-0.38496165306252766,0.05584558796308398,-0.022215508625300223
KMI,0.9043043466104663,0.10532443859847176,0.7420034837773486,-0.06517314370277044
KMX,1.1171346617192293,0.5288664605112235,0.236592348966237,-0.2917224455233384
KO,0.579338860542089,-0.3983787246196606,0.20989714353274797,-0.08245969834226467
KR,0.3511214428056248,-0.019816536243477147,0.19625208643498315,0.10543686720959186
L,1.0092343166357347,-0.0837808037244742,0.8035089304829279,-0.05003895379113847
LDOS,0.7919069921164223,0.017007299995283248,0.3028133361735694,0.12599625523277225
LHX,0.6857436031401108,-0.08357437288533313,0.35090460080623714,0.02665125729639163
